"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"12";"11 DE SEPTIEMBRE DE 1888";1300;280;1100000;3928.6;4;NA;"FRENTE";"No";"No";0;"No";"No";"PALERMO";14;-58.4448340248695;-34.5663762305176
"13";"11 DE SEPTIEMBRE DE 1888";1300;297;1300000;4377.1;4;NA;"FRENTE";"Si";"Si";0;"Si";"Si";"PALERMO";14;-58.4448340248695;-34.5663762305176
"14";"11 DE SEPTIEMBRE DE 1888";1300;300;1300000;4333.3;5;NA;"S/D";"Si";"Si";4;"Si";"Si";"PALERMO";14;-58.4448340248695;-34.5663762305176
"15";"11 DE SEPTIEMBRE DE 1888";1300;350;1250000;3571.4;5;22;"S/D";"Si";"Si";4;"Si";"Si";"PALERMO";14;-58.4448340248695;-34.5663762305176
"16";"11 DE SEPTIEMBRE DE 1888";1400;220;660000;3000;5;60;"FRENTE";"Si";"Si";3;"Si";"Si";"PALERMO";14;-58.4456335229513;-34.5654417626827
"17";"11 DE SEPTIEMBRE DE 1888";1500;186;495000;2661.3;5;50;"FRENTE";"Si";"Si";3;"No";"Si";"BELGRANO";13;-58.4464311615933;-34.5645093778347
"18";"11 DE SEPTIEMBRE DE 1888";1500;220;485000;2204.5;5;NA;"S/D";"No";"No";0;"No";"No";"BELGRANO";13;-58.4464311615933;-34.5645093778347
"19";"11 DE SEPTIEMBRE DE 1888";1500;300;850000;2833.3;5;35;"S/D";"Si";"Si";4;"Si";"Si";"BELGRANO";13;-58.4464311615933;-34.5645093778347
"20";"11 DE SEPTIEMBRE DE 1888";1600;74;350000;4729.7;2;6;"CONTRAFRENTE";"No";"No";2;"No";"No";"BELGRANO";13;-58.4472276002489;-34.5635784912835
"21";"11 DE SEPTIEMBRE DE 1888";1600;108;370000;3425.9;2;3;"FRENTE";"Si";"Si";2;"Si";"Si";"BELGRANO";13;-58.4472276002489;-34.5635784912835
"22";"11 DE SEPTIEMBRE DE 1888";1600;157;320000;2038.2;5;50;"CONTRAFRENTE";"Si";"Si";3;"No";"Si";"BELGRANO";13;-58.4472276002489;-34.5635784912835
"23";"11 DE SEPTIEMBRE DE 1888";1700;87;270000;3103.4;4;35;"S/D";"No";"Si";2;"No";"No";"BELGRANO";13;-58.4480244951453;-34.562647012836
"24";"11 DE SEPTIEMBRE DE 1888";1800;300;750000;2500;5;35;"FRENTE";"Si";"Si";0;"Si";"Si";"BELGRANO";13;-58.4488499555836;-34.561683014928
"25";"11 DE SEPTIEMBRE DE 1888";2100;26;73000;2807.7;2;40;"LATERAL";"No";"No";1;"No";"Si";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"26";"11 DE SEPTIEMBRE DE 1888";2100;46;95500;2076.1;3;NA;"S/D";"No";"No";0;"No";"No";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"27";"11 DE SEPTIEMBRE DE 1888";2100;55;123000;2236.4;3;40;"CONTRAFRENTE";"No";"No";0;"No";"No";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"28";"11 DE SEPTIEMBRE DE 1888";2100;67;180000;2686.6;3;17;"CONTRAFRENTE";"No";"Si";2;"No";"No";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"29";"11 DE SEPTIEMBRE DE 1888";2100;110;177000;1609.1;0;40;"FRENTE";"No";"No";3;"Si";"Si";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"30";"11 DE SEPTIEMBRE DE 1888";2100;118;225000;1906.8;3;60;"FRENTE";"No";"No";3;"Si";"No";"BELGRANO";13;-58.4511737924318;-34.5587633185137
"31";"11 DE SEPTIEMBRE DE 1888";2200;60;140000;2333.3;2;38;"CONTRAFRENTE";"Si";"Si";1;"No";"Si";"BELGRANO";13;-58.4521120447006;-34.5579160052672
"32";"11 DE SEPTIEMBRE DE 1888";2500;30;115600;3853.3;1;NA;"CONTRAFRENTE";"No";"Si";1;"Si";"Si";"BELGRANO";13;-58.4544244763761;-34.5550401265637
"33";"11 DE SEPTIEMBRE DE 1888";2500;31;88600;2858.1;1;NA;"CONTRAFRENTE";"No";"Si";0;"Si";"Si";"BELGRANO";13;-58.4544244763761;-34.5550401265637
